num_anions,num_cations,num_fillers,aver_a_elecneg,dev_a_elecneg,aver_c_elecneg,dev_c_elecneg,aver_f_elecneg,dev_f_elecneg,aver_a_ip,dev_a_ip,aver_c_ip,dev_c_ip,aver_f_ip,dev_f_ip,aver_a_ea,dev_a_ea,aver_c_ea,dev_c_ea,aver_f_ea,dev_f_ea,f_mass,total_mass,std_dev_f_mass,std_dev_a_mass,std_dev_c_mass,std_dev_f_frac,std_dev_a_frac,std_dev_c_frac,sum_f_frac,sum_a_frac,sum_c_frac,ratio_a_c,total_val_e,n_300,T,p_n,ZT
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.13,0.0,8.608389,0.0,7.9024681,0.0,5.4702,0.0,1.04740119,0.0,0.15323634,0.0,0.1092346,0.0,126.81689399999999,1811.316894,0.0,0.0,0.0,0.0,0.0,0.0,0.9,12.0,4.0,3.0,94.7,3.41e+21,600.0,0,0.492241055
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.13,0.0,8.608389,0.0,7.9024681,0.0,5.4702,0.0,1.04740119,0.0,0.15323634,0.0,0.1092346,0.0,126.81689399999999,1811.316894,0.0,0.0,0.0,0.0,0.0,0.0,0.9,12.0,4.0,3.0,94.7,3.41e+21,700.0,0,0.5928603
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.13,0.0,8.608389,0.0,7.9024681,0.0,5.4702,0.0,1.04740119,0.0,0.15323634,0.0,0.1092346,0.0,126.81689399999999,1811.316894,0.0,0.0,0.0,0.0,0.0,0.0,0.9,12.0,4.0,3.0,94.7,3.41e+21,800.0,0,0.664588112
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.14,0.0,8.608389,0.0,7.9024681,0.0,5.525,0.0,1.04740119,0.0,0.15323634,0.0,0.0974933,0.0,122.60569999999998,1807.1057,0.0,0.0,0.0,0.0,0.0,0.0,0.85,12.0,4.0,3.0,95.4,3.47e+21,300.0,0,0.207791208
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.14,0.0,8.608389,0.0,7.9024681,0.0,5.525,0.0,1.04740119,0.0,0.15323634,0.0,0.0974933,0.0,122.60569999999998,1807.1057,0.0,0.0,0.0,0.0,0.0,0.0,0.85,12.0,4.0,3.0,95.4,3.47e+21,400.0,0,0.344141475
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.14,0.0,8.608389,0.0,7.9024681,0.0,5.525,0.0,1.04740119,0.0,0.15323634,0.0,0.0974933,0.0,122.60569999999998,1807.1057,0.0,0.0,0.0,0.0,0.0,0.0,0.85,12.0,4.0,3.0,95.4,3.47e+21,500.0,0,0.504789813
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.14,0.0,8.608389,0.0,7.9024681,0.0,5.525,0.0,1.04740119,0.0,0.15323634,0.0,0.0974933,0.0,122.60569999999998,1807.1057,0.0,0.0,0.0,0.0,0.0,0.0,0.85,12.0,4.0,3.0,95.4,3.47e+21,600.0,0,0.667167154
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.14,0.0,8.608389,0.0,7.9024681,0.0,5.525,0.0,1.04740119,0.0,0.15323634,0.0,0.0974933,0.0,122.60569999999998,1807.1057,0.0,0.0,0.0,0.0,0.0,0.0,0.85,12.0,4.0,3.0,95.4,3.47e+21,700.0,0,0.812591461
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.14,0.0,8.608389,0.0,7.9024681,0.0,5.525,0.0,1.04740119,0.0,0.15323634,0.0,0.0974933,0.0,122.60569999999998,1807.1057,0.0,0.0,0.0,0.0,0.0,0.0,0.85,12.0,4.0,3.0,95.4,3.47e+21,800.0,0,0.848268823
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.2,0.0,8.608389,0.0,7.9024681,0.0,5.670385,0.0,1.04740119,0.0,0.15323634,0.0,0.11613,0.0,145.88544,1823.0798399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.96,11.94,4.0,2.985,98.41999999999999,5.24e+21,300.0,0,0.176023025
